ITA Abnormal pressure,ITA Device Abnormal,ITA Run Abnormal,ITA UTC,ITA sqNum,ITA stNum,ITA synchronization exception,ITA time interval,ITS Blocking reclosing,ITS BreakA,ITS BreakB,ITS BreakC,ITS Breaker TP Position,ITS TEST,ITS Timestamp,ITS UTC,ITS sqNum,ITS stNum,ITS time interval,LPD Blocking protection,LPD BreakA,LPD BreakB,LPD BreakC,LPD TEST,LPD UTC,LPD sqNum,LPD stNum,LPD time interval,Type of attack,Whether attacked
0,0,0,1567390411,3061,10,0,1567405696,0,0,0,0,0,0,1567405692,1567405508,41,109,1567405692,1,0,0,0,0,1567405508,42,35,1567405697,11,2
0,0,0,1567390411,3063,10,0,10,0,0,0,0,0,0,1567405702,1567405508,43,109,10,1,0,0,0,0,1567405508,44,35,10,11,2
0,0,0,1567390411,3065,10,0,10,0,0,0,0,0,0,1567405712,1567405508,45,109,10,1,0,0,0,0,1567405508,46,35,10,11,2
0,0,0,1567390411,3067,10,0,10,0,0,0,0,0,0,1567405722,1567405508,47,109,10,1,0,0,0,0,1567405508,48,35,10,11,2
0,0,0,1567390411,3068,10,0,5,0,0,0,0,0,0,1567405728,1567405728,0,110,6,1,0,0,0,0,1567405508,49,35,5,11,2
0,0,0,1567390411,3069,10,0,5,0,1,1,1,0,0,1567405733,1567405728,5,115,5,1,0,0,0,0,1567405508,50,35,5,11,2
0,0,0,1567390411,3070,10,0,5,0,1,1,1,0,0,1567405738,1567405728,6,115,5,1,0,0,0,0,1567405508,51,35,5,11,2
0,0,0,1567390411,3071,10,0,5,0,1,1,1,0,0,1567405743,1567405728,7,115,5,1,0,0,0,0,1567405508,52,35,5,11,2
0,0,0,1567390411,3072,10,0,5,0,1,1,1,0,0,1567405748,1567405728,8,115,5,1,0,0,0,0,1567405508,53,35,5,11,2
0,0,0,1567390411,3073,10,0,5,0,1,1,1,0,0,1567405753,1567405728,9,115,5,1,0,0,0,0,1567405508,54,35,5,11,2
0,0,0,1567390411,3074,10,0,5,0,0,0,0,0,0,1567405758,1567405758,0,116,5,1,0,0,0,0,1567405758,5,37,6,11,2
0,0,0,1567390411,3076,10,0,10,0,0,0,0,0,0,1567405768,1567405758,6,120,10,1,0,0,0,0,1567405758,7,37,10,11,2
0,0,0,1567390411,3078,10,0,10,0,0,0,0,0,0,1567405778,1567405758,8,120,10,1,0,0,0,0,1567405758,9,37,10,11,2
0,0,0,1567390411,3080,10,0,10,0,0,0,0,0,0,1567405788,1567405758,10,120,10,1,0,0,0,0,1567405758,11,37,10,11,2
0,0,0,1567390411,3082,10,0,10,0,0,0,0,0,0,1567405798,1567405758,12,120,10,1,0,0,0,0,1567405758,13,37,10,11,2
0,0,0,1567390411,3084,10,0,10,0,0,0,0,0,0,1567405808,1567405758,14,120,10,1,0,0,0,0,1567405758,15,37,10,11,2
0,0,0,1567390411,3086,10,0,10,0,0,0,0,0,0,1567405818,1567405758,16,120,10,1,0,0,0,0,1567405758,17,37,10,11,2
0,0,0,1567390411,3088,10,0,10,0,0,0,0,0,0,1567405828,1567405758,18,120,10,1,0,0,0,0,1567405758,19,37,10,11,2
0,0,0,1567390411,3090,10,0,10,0,0,0,0,0,0,1567405838,1567405758,20,120,10,1,0,0,0,0,1567405758,21,37,10,11,2
0,0,0,1567390411,3092,10,0,10,0,0,0,0,0,0,1567405848,1567405758,22,120,10,1,0,0,0,0,1567405758,23,37,10,11,2
0,0,0,1567390411,3094,10,0,10,0,0,0,0,0,0,1567405858,1567405758,24,120,10,1,0,0,0,0,1567405758,25,37,10,11,2
0,0,0,1567390411,3096,10,0,10,0,0,0,0,0,0,1567405868,1567405758,26,120,10,1,0,0,0,0,1567405758,27,37,10,11,2
0,0,0,1567390411,3098,10,0,10,0,0,0,0,0,0,1567405878,1567405758,28,120,10,1,0,0,0,0,1567405758,29,37,10,11,2
0,0,0,1567390411,3100,10,0,10,0,0,0,0,0,0,1567405888,1567405758,30,120,10,1,0,0,0,0,1567405758,31,37,10,11,2
0,0,0,1567390411,3102,10,0,10,0,0,0,0,0,0,1567405898,1567405758,32,120,10,1,0,0,0,0,1567405758,33,37,10,11,2
0,0,0,1567390411,3104,10,0,10,0,0,0,0,0,0,1567405908,1567405758,34,120,10,1,0,0,0,0,1567405758,35,37,10,11,2
0,0,0,1567390411,3106,10,0,10,0,0,0,0,0,0,1567405918,1567405758,36,120,10,1,0,0,0,0,1567405758,37,37,10,11,2
